iom_source_index,location_pcode,location_name,adm1_name,adm2_name,adm3_name,adm3_pcode,best_candidate_hot_id,best_candidate_hot_name,best_candidate_score,best_candidate_status,accepted_hot_id,accepted_hot_name,accepted_similarity_score,accepted_match_status,accepted_candidate_rank,matching_decision,automatic_acceptance_threshold
8003,N0392,16 Tashreen (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575886,At-Tuweine,41.67,Low confidence,,,,,,Review required,85.0
1202,C8819,Ab Al Naqah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481370811,Ain al-Hara,63.64,Low confidence,,,,,,Review required,85.0
1173,C6441,Abiad,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481378423,Abyad,80.0,Review,,,,,,Review required,85.0
8159,N0384,Abo Amsha (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571230164,Abu `Amsha',76.19,Review,,,,,,Review required,85.0
7995,N0393,Abo Bakr (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571229939,Abu Bakr,73.68,Review,,,,,,Review required,85.0
4785,C4341,Abu Rasin Haskeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12121605283,Abu Rasain,69.23,Low confidence,,,,,,Review required,85.0
8034,N0387,Al Askari (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572568688,Al-Hasaka,66.67,Low confidence,,,,,,Review required,85.0
1292,C8766,Al Assaf,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572568688,Al-Hasaka,70.59,Review,,,,,,Review required,85.0
907,C8619,Al Aziziyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575157,Al-Mas'udiya,60.87,Low confidence,,,,,,Review required,85.0
1023,C7518,Al Bandashi,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574948,Al Bandaji,85.71,High confidence,node/572574948,Al Bandaji,85.71,High confidence,1.0,Accepted,85.0
1025,C7547,Al Berij,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,62.5,Low confidence,,,,,,Review required,85.0
916,C7486,Al Dawudiyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461332684,Ad-Dawudiye,78.26,Review,,,,,,Review required,85.0
5107,C7535,Al Dhiyabah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,63.16,Low confidence,,,,,,Review required,85.0
964,C6446,Al Faydat,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574693,Al Faydat,100.0,Exact,node/572574693,Al Faydat,100.0,Exact,1.0,Accepted,85.0
8247,N0381,Al Gazal (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12190717618,Al-Khazna,60.0,Low confidence,,,,,,Review required,85.0
1352,C7499,Al Harmalah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481496468,Harmala,77.78,Review,,,,,,Review required,85.0
1368,C7663,Al Hayshuri,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,73.68,Review,,,,,,Review required,85.0
1273,C7564,Al Hilwah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574685,Dakhiliyah,63.16,Low confidence,,,,,,Review required,85.0
1258,C7613,Al Jabriyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,63.16,Low confidence,,,,,,Review required,85.0
